Team	Opponent	Game Site	Game Result	Team Score	Opponent Score	
Air Force	Fresno State	H	L	55	56	-1
Air Force	New Mexico	@	L	55	84	-29
Air Force	San Jose State	@	L	54	75	-21
Air Force	Wyoming	H	W	70	62	8
Air Force	Boise State	H	W	61	53	8
Air Force	Nevada	@	L	52	72	-20
Air Force	San Diego State	@	L	61	70	-9
Air Force	Nevada-Las Vegas	H	W	79	74	5
Air Force	New Mexico	H	W	76	72	4
Air Force	Fresno State	@	L	63	64	-1
Air Force	Utah State	H	L	65	78	-13
Air Force	Colorado State	@	L	73	87	-14
Air Force	Nevada-Las Vegas	@	L	102	108	-6
Akron	Cleveland State	N	W	65	53	12
Akron	Hiram	H	W	100	30	70
Akron	Arkansas	@	W	88	80	8
Akron	Villanova	@	L	56	75	-19
Akron	Green Bay	@	L	63	66	-3
Akron	Charleston Southern	H	W	82	58	24
Akron	Coppin State	H	W	77	71	6
Akron	Marshall	@	W	75	65	10
Akron	Bethune-Cookman	H	W	81	60	21
Akron	UC-Santa Barbara	N	W	84	70	14
Akron	Iona	N	W	78	64	14
Akron	South Carolina State	H	W	78	68	10
Akron	Lipscomb	H	W	80	73	7
Akron	Buffalo	@	W	75	71	4
Akron	Western Michigan	H	W	62	53	9
Akron	Central Michigan	@	L	81	92	-11
Akron	Toledo	@	L	64	78	-14
Akron	Eastern Michigan	H	W	92	88	4
Akron	Miami (OH)	H	W	75	46	29
Akron	Northern Illinois	H	W	76	66	10
Akron	Ball State	@	W	73	64	9
Akron	Ohio	@	W	80	68	12
Akron	Central Michigan	H	W	92	87	5
Akron	Bowling Green State	@	W	83	68	15
Akron	Northern Illinois	@	L	79	80	-1
Akron	Buffalo	H	W	80	70	10
Akron	Kent State	@	L	76	85	-9
Akron	Miami (OH)	@	L	64	77	-13
Akron	Bowling Green State	H	W	89	54	35
Akron	Ohio	H	W	91	76	15
Akron	Kent State	H	W	74	60	14
Akron	Eastern Michigan	N	W	65	63	2
Akron	Bowling Green State	N	W	80	66	14
Alabama A&M	Tulane	@	W	68	67	1
Alabama A&M	Southeast Missouri State	H	W	74	56	18
Alabama A&M	Oakwood	H	W	97	89	8
Alabama A&M	Jacksonville State	@	W	73	69	4
Alabama A&M	Murray State	@	L	61	63	-2
Alabama A&M	Saint Louis	@	L	58	75	-17
Alabama A&M	Western Kentucky	@	L	70	79	-9
Alabama A&M	Evansville	@	L	70	91	-21
Alabama A&M	Ball State	@	L	62	63	-1
Alabama A&M	Grambling	@	L	78	81	-3
Alabama A&M	Jackson State	@	L	66	67	-1
Alabama A&M	Arkansas-Pine Bluff	H	W	85	70	15
Alabama A&M	Mississippi Valley State	H	L	73	79	-6
Alabama A&M	Alabama State	@	W	80	75	5
Alabama A&M	Alcorn State	@	L	58	63	-5
Alabama A&M	Southern	@	L	52	73	-21
Alabama A&M	Prairie View	H	W	83	69	14
Alabama A&M	Texas Southern	H	L	66	71	-5
Alabama A&M	Arkansas-Pine Bluff	@	W	71	66	5
Alabama A&M	Mississippi Valley State	@	L	64	66	-2
Alabama A&M	Alabama State	H	L	68	74	-6
Alabama A&M	Alcorn State	H	L	58	62	-4
Alabama A&M	Southern	H	W	78	66	12
Alabama A&M	Texas Southern	@	L	54	77	-23
Alabama A&M	Prairie View	@	L	65	85	-20
Alabama A&M	Grambling	H	L	58	65	-7
Alabama A&M	Jackson State	H	W	54	51	3
Alabama A&M	Arkansas-Pine Bluff	N	W	61	53	8
Alabama A&M	Texas Southern	N	L	69	77	-8
Alabama-Birmingham	Auburn	@	L	74	75	-1
Alabama-Birmingham	Alabama State	H	W	72	70	2
Alabama-Birmingham	Troy	@	W	79	63	16
Alabama-Birmingham	Jacksonville State	H	W	61	55	6
Alabama-Birmingham	Illinois	N	L	58	72	-14
Alabama-Birmingham	Virginia Tech	N	L	77	82	-5
Alabama-Birmingham	Georgia State	H	W	64	57	7
Alabama-Birmingham	Illinois State	@	W	74	61	13
Alabama-Birmingham	Seattle	H	W	79	73	6
Alabama-Birmingham	South Carolina Upstate	H	W	96	54	42
Alabama-Birmingham	South Florida	@	W	79	68	11
Alabama-Birmingham	Hiwassee	H	W	116	43	73
Alabama-Birmingham	Stephen F. Austin	H	W	76	66	10
Alabama-Birmingham	Middle Tennessee	H	W	78	67	11
Alabama-Birmingham	Texas-San Antonio	H	W	104	82	22
Alabama-Birmingham	Texas-El Paso	H	W	87	80	7
Alabama-Birmingham	Old Dominion	@	W	72	71	1
Alabama-Birmingham	Charlotte	@	W	74	72	2
Alabama-Birmingham	Rice	H	W	82	70	12
Alabama-Birmingham	North Texas	H	W	78	57	21
Alabama-Birmingham	Western Kentucky	@	L	62	69	-7
Alabama-Birmingham	Marshall	@	W	81	78	3
Alabama-Birmingham	Florida International	H	W	74	69	5
Alabama-Birmingham	Florida Atlantic	H	W	104	67	37
Alabama-Birmingham	Southern Mississippi	@	W	80	77	3
Alabama-Birmingham	Louisiana Tech	@	L	76	85	-9
Alabama-Birmingham	Middle Tennessee	@	W	77	67	10
Alabama-Birmingham	Marshall	H	W	95	91	4
Alabama-Birmingham	Western Kentucky	H	W	71	67	4
Alabama-Birmingham	Florida International	@	W	77	60	17
Alabama-Birmingham	Florida Atlantic	@	W	73	70	3
Alabama-Birmingham	Western Kentucky	N	L	77	88	-11
Alabama State	Virginia Tech	@	W	85	82	3
Alabama State	Alabama-Birmingham	@	L	70	72	-2
Alabama State	Mercer	@	L	49	70	-21
Alabama State	Chattanooga	N	L	58	95	-37
Alabama State	Chicago State	N	W	66	64	2
Alabama State	Evansville	@	L	56	88	-32
Alabama State	Auburn Montgomery	H	W	80	78	2
Alabama State	Jacksonville State	@	W	63	60	3
Alabama State	Elon	@	L	74	91	-17
Alabama State	Coastal Carolina	@	L	65	68	-3
Alabama State	Winthrop	@	L	84	92	-8
Alabama State	Fort Valley State	H	W	105	89	16
Alabama State	Jackson State	@	L	61	68	-7
Alabama State	Grambling	@	L	81	84	-3
Alabama State	Mississippi Valley State	H	W	75	74	1
Alabama State	Arkansas-Pine Bluff	H	L	55	59	-4
Alabama State	Alabama A&M	H	L	75	80	-5
Alabama State	Southern	@	L	69	73	-4
Alabama State	Alcorn State	@	L	72	77	-5
Alabama State	Texas Southern	H	L	72	75	-3
Alabama State	Prairie View	H	W	83	77	6
Alabama State	Mississippi Valley State	@	W	73	62	11
Alabama State	Arkansas-Pine Bluff	@	L	70	75	-5
Alabama State	Alabama A&M	@	W	74	68	6
Alabama State	Southern	H	W	77	68	9
Alabama State	Alcorn State	H	W	73	60	13
Alabama State	Prairie View	@	W	73	68	5
Alabama State	Texas Southern	@	L	86	96	-10
Alabama State	Jackson State	H	W	71	54	17
Alabama State	Grambling	H	W	59	58	1
Alabama State	Southern	N	L	63	83	-20
Alabama	Kennesaw State	H	W	77	64	13
Alabama	Dayton	@	L	48	80	-32
Alabama	Louisiana-Lafayette	H	W	105	93	12
Alabama	Xavier	N	L	45	64	-19
Alabama	Wichita State	N	W	64	60	4
Alabama	Notre Dame	N	W	74	73	1
Alabama	Southern Mississippi	@	W	58	55	3
Alabama	Clemson	@	W	51	50	1
Alabama	Winthrop	H	W	72	60	12
Alabama	Oregon	N	L	68	72	-4
Alabama	Jacksonville State	H	W	67	59	8
Alabama	Norfolk State	H	W	68	49	19
Alabama	Mississippi	@	L	66	74	-8
Alabama	Kentucky	H	L	61	77	-16
Alabama	South Carolina	H	W	73	50	23
Alabama	Vanderbilt	@	L	63	71	-8
Alabama	Auburn	@	L	77	83	-6
Alabama	Louisiana State	H	L	70	72	-2
Alabama	Tennessee	H	W	63	57	6
Alabama	South Carolina	@	L	64	78	-14
Alabama	Mississippi State	@	W	82	80	2
Alabama	Missouri	H	W	80	71	9
Alabama	Texas A&M	H	W	63	62	1
Alabama	Florida	@	W	61	55	6
Alabama	Louisiana State	@	W	76	69	7
Alabama	Mississippi State	H	L	61	67	-6
Alabama	Kentucky	@	L	53	78	-25
Alabama	Auburn	H	W	65	57	8
Alabama	Arkansas	H	L	61	62	-1
Alabama	Georgia	@	L	63	70	-7
Alabama	Mississippi	N	W	81	73	8
Alabama	Kentucky	N	L	59	85	-26
Albany (NY)	Kentucky	@	L	65	78	-13
Albany (NY)	Boston University	@	L	64	69	-5
Albany (NY)	Colgate	H	W	88	67	21
Albany (NY)	SUNY-Oneonta	H	W	92	49	43
Albany (NY)	South Florida	@	L	61	63	-2
Albany (NY)	NJIT	H	W	74	73	1
Albany (NY)	Yale	H	W	88	54	34
Albany (NY)	Quinnipiac	@	W	58	54	4
Albany (NY)	Holy Cross	@	W	88	84	4
Albany (NY)	Marist	@	W	75	53	22
Albany (NY)	Siena	@	L	70	78	-8
Albany (NY)	Saint Francis (PA)	H	W	65	58	7
Albany (NY)	Niagara	H	W	65	56	9
Albany (NY)	St. Francis (NY)	@	W	71	66	5
Albany (NY)	Cornell	@	W	75	70	5
Albany (NY)	Maryland-Baltimore County	H	W	73	59	14
Albany (NY)	Vermont	@	W	69	57	12
Albany (NY)	New Hampshire	H	W	80	75	5
Albany (NY)	Maine	@	L	79	81	-2
Albany (NY)	Binghamton	H	W	80	59	21
Albany (NY)	Stony Brook	@	L	63	69	-6
Albany (NY)	Massachusetts-Lowell	H	W	75	63	12
Albany (NY)	Hartford	@	W	86	60	26
Albany (NY)	Maryland-Baltimore County	@	W	79	73	6
Albany (NY)	Vermont	H	W	75	71	4
Albany (NY)	Binghamton	@	W	69	56	13
Albany (NY)	New Hampshire	@	L	68	69	-1
Albany (NY)	Maine	H	W	108	64	44
Albany (NY)	Stony Brook	H	W	82	70	12
Albany (NY)	Massachusetts-Lowell	@	W	86	61	25
Albany (NY)	Hartford	H	W	75	59	16
Albany (NY)	Hartford	H	L	59	68	-9
Alcorn State	Grand Canyon	@	L	46	79	-33
Alcorn State	Texas-El Paso	@	L	66	88	-22
Alcorn State	Portland	@	L	65	97	-32
Alcorn State	Oakland	N	L	51	84	-33
Alcorn State	Florida A&M	N	L	71	73	-2
Alcorn State	Indiana	@	L	70	112	-42
Alcorn State	Mercer	@	L	43	68	-25
Alcorn State	Blue Mountain College	H	W	68	60	8
Alcorn State	Tennessee State	N	L	76	81	-5
Alcorn State	Tennessee-Martin	@	L	47	70	-23
Alcorn State	Louisiana College	H	W	81	69	12
Alcorn State	Prairie View	@	W	73	70	3
Alcorn State	Texas Southern	@	L	58	74	-16
Alcorn State	Jackson State	H	L	71	80	-9
Alcorn State	Grambling	H	W	69	53	16
Alcorn State	Mississippi Valley State	@	W	93	87	6
Alcorn State	Arkansas-Pine Bluff	@	W	73	65	8
Alcorn State	Alabama A&M	H	W	63	58	5
Alcorn State	Alabama State	H	W	77	72	5
Alcorn State	Southern	@	L	64	75	-11
Alcorn State	Jackson State	@	W	72	64	8
Alcorn State	Grambling	@	W	66	63	3
Alcorn State	Mississippi Valley State	H	W	72	71	1
Alcorn State	Arkansas-Pine Bluff	H	W	79	60	19
Alcorn State	Alabama A&M	@	W	62	58	4
Alcorn State	Alabama State	@	L	60	73	-13
Alcorn State	Southern	H	W	70	56	14
Alcorn State	Prairie View	H	W	81	64	17
Alcorn State	Texas Southern	H	L	66	76	-10
Alcorn State	Mississippi Valley State	N	L	61	64	-3
American	Rhode Island	@	L	42	65	-23
American	Hampton	H	L	48	61	-13
American	Saint Francis (PA)	@	L	48	68	-20
American	Virginia Commonwealth	@	L	44	72	-28
American	New Hampshire	@	W	68	50	18
American	Mount St. Mary's	@	L	56	81	-25
American	Youngstown State	@	W	60	56	4
American	Wagner	@	L	48	55	-7
American	Stony Brook	H	L	68	86	-18
American	Maryland-Eastern Shore	H	L	64	79	-15
American	Louisiana State	@	L	51	79	-28
American	Loyola (MD)	@	L	67	75	-8
American	Colgate	H	L	37	56	-19
American	Bucknell	@	L	54	72	-18
American	Lehigh	H	L	50	65	-15
American	Boston University	H	L	50	61	-11
American	Army	@	L	45	65	-20
American	Lafayette	@	W	81	73	8
American	Navy	@	W	63	58	5
American	Colgate	@	W	54	49	5
American	Holy Cross	H	W	58	45	13
American	Bucknell	H	W	69	55	14
American	Lehigh	@	L	49	72	-23
American	Boston University	@	L	51	71	-20
American	Army	H	L	59	65	-6
American	Lafayette	H	W	60	59	1
American	Holy Cross	@	W	71	70	1
American	Navy	H	W	72	65	7
American	Loyola (MD)	H	W	67	66	1
American	Boston University	@	W	69	64	5
American	Lehigh	@	L	62	78	-16
Appalachian State	Jacksonville	H	W	76	68	8
Appalachian State	Furman	H	L	70	79	-9
Appalachian State	Hampton	@	L	61	82	-21
Appalachian State	Tulane	@	L	48	76	-28
Appalachian State	Liberty	N	W	73	62	11
Appalachian State	Mercer	N	L	70	71	-1
Appalachian State	Stephen F. Austin	N	L	84	94	-10
Appalachian State	Hofstra	N	L	80	86	-6
Appalachian State	Texas	@	L	55	67	-12
Appalachian State	Charlotte	H	L	66	82	-16
Appalachian State	North Carolina	@	L	70	94	-24
Appalachian State	Louisiana-Monroe	@	L	56	72	-16
Appalachian State	Louisiana-Lafayette	@	L	58	79	-21
Appalachian State	Texas-Arlington	H	L	67	71	-4
Appalachian State	Texas State	H	W	76	56	20
Appalachian State	Arkansas-Little Rock	@	L	55	81	-26
Appalachian State	Arkansas State	@	W	86	72	14
Appalachian State	Georgia State	H	W	76	67	9
Appalachian State	Georgia Southern	H	L	100	101	-1
Appalachian State	Troy	@	W	75	71	4
Appalachian State	South Alabama	@	L	60	73	-13
Appalachian State	Louisiana-Lafayette	H	L	76	87	-11
Appalachian State	Louisiana-Monroe	H	L	90	91	-1
Appalachian State	Texas State	@	L	68	69	-1
Appalachian State	Texas-Arlington	@	L	60	91	-31
Appalachian State	South Alabama	H	L	71	75	-4
Appalachian State	Troy	H	W	78	74	4
Appalachian State	Georgia Southern	@	L	63	88	-25
Appalachian State	Georgia State	@	L	70	83	-13
Appalachian State	Arkansas-Little Rock	H	W	69	63	6
Appalachian State	Arkansas State	H	W	80	73	7
Arizona State	Sacramento State	H	L	63	66	-3
Arizona State	Belmont	H	W	83	74	9
Arizona State	Kennesaw State	H	W	91	53	38
Arizona State	North Carolina State	N	W	79	76	3
Arizona State	Marquette	N	L	73	78	-5
Arizona State	UC-Santa Barbara	H	W	70	68	2
Arizona State	Creighton	@	W	79	77	2
Arizona State	Texas A&M	H	W	67	54	13
Arizona State	Kentucky	@	L	58	72	-14
Arizona State	Nevada-Las Vegas	@	W	66	56	10
Arizona State	Houston Baptist	H	W	98	79	19
Arizona State	Stephen F. Austin	H	W	80	73	7
Arizona State	Cal State Bakersfield	H	W	75	59	16
Arizona State	Arizona	H	L	82	94	-12
Arizona State	Southern California	@	L	65	75	-10
Arizona State	UCLA	@	L	74	81	-7
Arizona State	Washington State	H	W	84	73	11
Arizona State	Washington	H	L	85	89	-4
Arizona State	University of California	@	L	70	75	-5
Arizona State	Stanford	@	L	73	75	-2
Arizona State	Oregon State	H	W	86	68	18
Arizona State	Oregon	H	L	74	91	-17
Arizona State	Washington	@	L	83	95	-12
Arizona State	Washington State	@	W	67	55	12
Arizona State	Southern California	H	W	74	67	7
Arizona State	UCLA	H	L	65	78	-13
Arizona State	Arizona	@	L	61	99	-38
Arizona State	Utah	@	L	46	81	-35
Arizona State	Colorado	@	L	69	79	-10
Arizona State	Stanford	H	W	74	64	10
Arizona State	University of California	H	L	65	68	-3
Arizona State	Oregon State	N	L	66	75	-9
Arizona	Pacific	H	W	79	61	18
Arizona	Bradley	H	W	90	60	30
Arizona	Boise State	H	W	88	76	12
Arizona	Northwestern State	H	W	61	42	19
Arizona	Santa Clara	N	W	75	73	2
Arizona	Providence	N	L	65	69	-4
Arizona	Boise State	N	W	68	59	9
Arizona	Gonzaga	@	W	68	63	5
Arizona	Fresno State	H	W	85	72	13
Arizona	Missouri	H	W	88	52	36
Arizona	Northern Arizona	H	W	92	37	55
Arizona	Nevada-Las Vegas	H	W	82	70	12
Arizona	Long Beach State	H	W	85	70	15
Arizona	Arizona State	@	W	94	82	12
Arizona	UCLA	@	L	84	87	-3
Arizona	Southern California	@	L	101	103	-2
Arizona	Washington	H	W	99	67	32
Arizona	Washington State	H	W	90	66	24
Arizona	Stanford	@	W	71	57	14
Arizona	University of California	@	L	73	74	-1
Arizona	Oregon	H	L	75	83	-8
Arizona	Oregon State	H	W	80	63	17
Arizona	Washington State	@	W	79	64	15
Arizona	Washington	@	W	77	72	5
Arizona	UCLA	H	W	81	75	6
Arizona	Southern California	H	W	86	78	8
Arizona	Arizona State	H	W	99	61	38
Arizona	Colorado	@	L	72	75	-3
Arizona	Utah	@	L	64	70	-6
Arizona	University of California	H	W	64	61	3
Arizona	Stanford	H	W	94	62	32
Arizona	Colorado	N	W	82	78	4
Arizona	Oregon	N	L	89	95	-6
Arkansas-Little Rock	Central Baptist	H	W	76	57	19
Arkansas-Little Rock	Centenary (LA)	H	W	95	49	46
Arkansas-Little Rock	San Diego State	@	W	49	43	6
Arkansas-Little Rock	East Carolina	N	W	54	46	8
Arkansas-Little Rock	Tulsa	@	W	64	60	4
Arkansas-Little Rock	Central Arkansas	H	W	79	73	6
Arkansas-Little Rock	Idaho	@	W	64	54	10
Arkansas-Little Rock	DePaul	@	W	66	44	22
Arkansas-Little Rock	Central Arkansas	@	W	77	54	23
Arkansas-Little Rock	Northern Arizona	H	W	84	57	27
Arkansas-Little Rock	Texas Tech	@	L	53	65	-12
Arkansas-Little Rock	South Alabama	@	W	69	60	9
Arkansas-Little Rock	Troy	@	W	67	61	6
Arkansas-Little Rock	Louisiana-Lafayette	H	W	77	57	20
Arkansas-Little Rock	Louisiana-Monroe	H	W	58	57	1
Arkansas-Little Rock	Appalachian State	H	W	81	55	26
Arkansas-Little Rock	Arkansas State	@	L	73	76	-3
Arkansas-Little Rock	Texas State	@	W	77	74	3
Arkansas-Little Rock	Texas-Arlington	@	W	68	62	6
Arkansas-Little Rock	Georgia Southern	H	W	80	67	13
Arkansas-Little Rock	Georgia State	H	W	63	53	10
Arkansas-Little Rock	Troy	H	W	72	49	23
Arkansas-Little Rock	South Alabama	H	W	74	43	31
Arkansas-Little Rock	Louisiana-Monroe	@	L	82	86	-4
Arkansas-Little Rock	Louisiana-Lafayette	@	W	68	64	4
Arkansas-Little Rock	Georgia State	@	W	57	49	8
Arkansas-Little Rock	Georgia Southern	@	W	75	61	14
Arkansas-Little Rock	Texas-Arlington	H	W	72	60	12
Arkansas-Little Rock	Texas State	H	W	73	68	5
Arkansas-Little Rock	Arkansas State	H	W	89	80	9
Arkansas-Little Rock	Appalachian State	@	L	63	69	-6
Arkansas-Pine Bluff	Seattle	@	W	58	56	2
Arkansas-Pine Bluff	Oklahoma State	@	L	72	86	-14
Arkansas-Pine Bluff	Michigan State	@	L	46	92	-46
Arkansas-Pine Bluff	Cincinnati	@	L	50	99	-49
Arkansas-Pine Bluff	Nebraska	@	L	44	67	-23
Arkansas-Pine Bluff	Army	N	L	60	81	-21
Arkansas-Pine Bluff	Southeastern Louisiana	N	W	62	60	2
Arkansas-Pine Bluff	Hawaii	@	L	47	75	-28
Arkansas-Pine Bluff	Virginia Tech	@	L	45	80	-35
Arkansas-Pine Bluff	Iowa State	@	L	64	78	-14
Arkansas-Pine Bluff	Santa Clara	@	L	57	69	-12
Arkansas-Pine Bluff	Texas Tech	@	L	54	94	-40
Arkansas-Pine Bluff	Ohio	@	L	58	65	-7
Arkansas-Pine Bluff	Missouri	@	L	25	78	-53
Arkansas-Pine Bluff	Mississippi Valley State	@	L	60	66	-6
Arkansas-Pine Bluff	Alabama A&M	@	L	70	85	-15
Arkansas-Pine Bluff	Alabama State	@	W	59	55	4
Arkansas-Pine Bluff	Southern	H	L	55	69	-14
Arkansas-Pine Bluff	Alcorn State	H	L	65	73	-8
Arkansas-Pine Bluff	Prairie View	@	W	45	44	1
Arkansas-Pine Bluff	Texas Southern	@	L	49	78	-29
Arkansas-Pine Bluff	Grambling	H	W	63	59	4
Arkansas-Pine Bluff	Jackson State	H	L	53	66	-13
Arkansas-Pine Bluff	Alabama A&M	H	L	66	71	-5
Arkansas-Pine Bluff	Alabama State	H	W	75	70	5
Arkansas-Pine Bluff	Southern	@	L	58	66	-8
Arkansas-Pine Bluff	Alcorn State	@	L	60	79	-19
Arkansas-Pine Bluff	Prairie View	H	L	55	57	-2
Arkansas-Pine Bluff	Texas Southern	H	L	52	54	-2
Arkansas-Pine Bluff	Grambling	@	W	53	51	2
Arkansas-Pine Bluff	Jackson State	@	L	56	67	-11
Arkansas-Pine Bluff	Mississippi Valley State	H	W	78	71	7
Arkansas-Pine Bluff	Alabama A&M	N	L	53	61	-8
Arkansas State	Southern Illinois-Edwardsville	@	L	70	79	-9
Arkansas State	Lyon	H	W	81	37	44
Arkansas State	Savannah State	@	L	75	76	-1
Arkansas State	Jackson State	H	W	78	69	9
Arkansas State	Oregon	@	L	68	91	-23
Arkansas State	Baylor	@	L	72	94	-22
Arkansas State	Missouri	@	L	78	88	-10
Arkansas State	North Dakota State	H	L	73	74	-1
Arkansas State	Arkansas-Monticello	H	W	104	71	33
Arkansas State	Tennessee-Martin	@	L	70	74	-4
Arkansas State	Central Arkansas	H	W	77	67	10
Arkansas State	Troy	@	W	84	81	3
Arkansas State	South Alabama	@	W	89	67	22
Arkansas State	Louisiana-Monroe	H	W	68	65	3
Arkansas State	Louisiana-Lafayette	H	W	71	69	2
Arkansas State	Appalachian State	H	L	72	86	-14
Arkansas State	Arkansas-Little Rock	H	W	76	73	3
Arkansas State	Texas-Arlington	@	L	64	91	-27
Arkansas State	Texas State	@	L	68	78	-10
Arkansas State	Georgia State	H	W	75	69	6
Arkansas State	Georgia Southern	H	L	66	71	-5
Arkansas State	South Alabama	H	W	79	73	6
Arkansas State	Troy	H	L	70	71	-1
Arkansas State	Louisiana-Lafayette	@	L	73	83	-10
Arkansas State	Louisiana-Monroe	@	L	73	78	-5
Arkansas State	Georgia Southern	@	L	59	90	-31
Arkansas State	Georgia State	@	L	61	69	-8
Arkansas State	Texas State	H	L	60	71	-11
Arkansas State	Texas-Arlington	H	L	75	79	-4
Arkansas State	Arkansas-Little Rock	@	L	80	89	-9
Arkansas State	Appalachian State	@	L	73	80	-7
Arkansas	Southern	H	W	86	68	18
Arkansas	Akron	H	L	80	88	-8
Arkansas	Charleston Southern	H	W	93	75	18
Arkansas	Georgia Tech	N	L	73	83	-10
Arkansas	Stanford	N	L	66	69	-3
Arkansas	Northwestern State	H	W	117	78	39
Arkansas	Wake Forest	@	L	85	88	-3
Arkansas	Evansville	H	W	89	76	13
Arkansas	Tennessee Tech	H	W	83	57	26
Arkansas	Mercer	N	L	66	69	-3
Arkansas	North Florida	H	W	97	72	25
Arkansas	Dayton	@	L	81	85	-4
Arkansas	Texas A&M	@	L	69	92	-23
Arkansas	Vanderbilt	H	W	90	85	5
Arkansas	Mississippi State	H	W	82	68	14
Arkansas	Missouri	@	W	94	61	33
Arkansas	Louisiana State	@	L	74	76	-2
Arkansas	Kentucky	H	L	66	80	-14
Arkansas	Georgia	@	L	73	76	-3
Arkansas	Texas A&M	H	W	74	71	3
Arkansas	Texas Tech	H	W	75	68	7
Arkansas	Florida	@	L	83	87	-4
Arkansas	Tennessee	H	W	85	67	18
Arkansas	Mississippi State	@	L	46	78	-32
Arkansas	Mississippi	@	L	60	76	-16
Arkansas	Auburn	H	L	86	90	-4
Arkansas	Missouri	H	W	84	72	12
Arkansas	Louisiana State	H	W	85	65	20
Arkansas	Tennessee	@	W	75	65	10
Arkansas	Alabama	@	W	62	61	1
Arkansas	South Carolina	H	L	61	76	-15
Arkansas	Florida	N	L	61	68	-7
Army	Ferrum	H	W	93	54	39
Army	Binghamton	@	W	75	60	15
Army	Fairleigh Dickinson	@	W	96	85	11
Army	George Washington	@	L	81	92	-11
Army	Tennessee	@	L	80	95	-15
Army	Arkansas-Pine Bluff	N	W	81	60	21
Army	Gardner-Webb	H	W	103	98	5
Army	Maine	@	W	84	71	13
Army	Bryant	@	W	77	55	22
Army	Air Force	@	W	90	80	10
Army	Marist	H	L	83	89	-6
Army	Monmouth	H	W	91	84	7
Army	Lehigh	@	W	88	82	6
Army	Bucknell	H	L	76	84	-8
Army	Lafayette	H	L	73	76	-3
Army	Loyola (MD)	@	W	73	59	14
Army	Colgate	@	L	66	80	-14
Army	American	H	W	65	45	20
Army	Holy Cross	@	L	65	69	-4
Army	Boston University	H	L	67	76	-9
Army	Bucknell	@	L	66	94	-28
Army	Navy	H	L	50	64	-14
Army	Lafayette	@	W	84	81	3
Army	Loyola (MD)	H	L	99	100	-1
Army	Colgate	H	W	82	72	10
Army	American	@	W	65	59	6
Army	Holy Cross	H	W	72	68	4
Army	Navy	@	W	80	78	2
Army	Boston University	@	W	80	71	9
Army	Lehigh	H	L	72	82	-10
Army	Colgate	H	W	79	72	7
Army	Holy Cross	H	L	38	60	-22
Auburn	Alabama-Birmingham	H	W	75	74	1
Auburn	Colorado	H	L	84	91	-7
Auburn	Georgia Southern	H	W	92	62	30
Auburn	Northwestern State	H	W	119	81	38
Auburn	Coastal Carolina	@	W	81	78	3
Auburn	Middle Tennessee	@	L	81	88	-7
Auburn	Mercer	H	W	78	71	7
Auburn	Xavier	@	L	61	85	-24
Auburn	New Mexico	N	W	83	78	5
Auburn	Harvard	N	L	51	69	-18
Auburn	Hawaii	@	L	67	79	-12
Auburn	Tennessee	H	W	83	77	6
Auburn	South Carolina	H	L	69	81	-12
