25 	Binghamton 	30 	7 	23 	.233 	-15.91 	-5.91 	4 	12 	3 	11 	4 	12 	1840 	2140 		591 	1554 	.380 	182 	569 	.320 	476 	687 	.693 	312 	970 	282 	184 	60 	428 	596
26 	Boise State 	31 	19 	12 	.613 	8.66 	4.59 	9 	9 	14 	5 	5 	7 	2366 	2163 		818 	1788 	.457 	243 	646 	.376 	487 	652 	.747 	342 	1066 	368 	186 	60 	309 	594
27 	Boston College 	31 	8 	23 	.258 	3.36 	9.06 	4 	14 	5 	12 	3 	11 	2127 	2281 		695 	1555 	.447 	241 	683 	.353 	496 	670 	.740 	261 	921 	387 	131 	86 	350 	583
28 	Boston University 	33 	24 	9 	.727 	2.55 	-2.57 	15 	3 	13 	5 	11 	4 	2394 	2225 		855 	1872 	.457 	270 	734 	.368 	414 	573 	.723 	319 	1113 	465 	233 	62 	394 	561
29 	Bowling Green State 	32 	12 	20 	.375 	-2.80 	0.46 	6 	12 	8 	9 	4 	11 	2007 	2055 		743 	1745 	.426 	120 	417 	.288 	401 	630 	.637 	338 	1131 	387 	246 	177 	469 	564
30 	Bradley 	32 	12 	20 	.375 	-2.34 	0.07 	7 	11 	11 	9 	1 	11 	2036 	2113 		721 	1720 	.419 	154 	479 	.322 	440 	628 	.701 	356 	1064 	306 	226 	84 	383 	635
31 	Brigham Young 	33 	23 	10 	.697 	12.85 	5.63 	13 	5 	18 	3 	5 	7 	2799 	2544 		971 	2066 	.470 	169 	467 	.362 	688 	999 	.689 	436 	1358 	524 	241 	101 	371 	641
32 	Brown 	28 	15 	13 	.536 	-1.09 	-3.90 	7 	7 	8 	5 	7 	8 	2000 	1883 		707 	1632 	.433 	190 	497 	.382 	396 	590 	.671 	312 	1108 	377 	159 	134 	363 	557
33 	Bryant 	32 	18 	14 	.563 	-3.92 	-4.57 	10 	6 	11 	5 	7 	9 	2351 	2304 		840 	1788 	.470 	201 	602 	.334 	470 	669 	.703 	308 	1095 	420 	207 	93 	397 	568
34 	Bucknell 	30 	16 	14 	.533 	-0.82 	-2.66 	11 	7 	8 	6 	8 	8 	1977 	1922 		698 	1627 	.429 	196 	502 	.390 	385 	516 	.746 	287 	1067 	357 	138 	49 	321 	500
35 	Buffalo 	28 	19 	9 	.679 	4.41 	-1.70 	13 	5 	13 	3 	6 	6 	2068 	1883 		709 	1574 	.450 	174 	531 	.328 	476 	666 	.715 	340 	1031 	422 	193 	129 	354 	515
36 	Butler 	30 	14 	16 	.467 	8.04 	7.94 	4 	14 	10 	9 	4 	7 	2075 	2013 		734 	1707 	.430 	181 	549 	.330 	426 	641 	.665 	331 	1039 	333 	181 	82 	298 	511
37 	Cal Poly 	29 	10 	19 	.345 	-2.13 	2.24 	6 	10 	7 	7 	3 	12 	1832 	1875 		645 	1588 	.406 	189 	562 	.336 	353 	512 	.689 	327 	939 	342 	176 	81 	269 	540
38 	Cal State Bakersfield 	30 	12 	18 	.400 	-4.59 	-3.97 	5 	11 	7 	8 	5 	10 	2084 	2059 		724 	1648 	.439 	210 	531 	.395 	426 	624 	.683 	355 	1042 	372 	198 	107 	417 	670
39 	Cal State Fullerton 	30 	11 	19 	.367 	-4.40 	-0.63 	6 	10 	8 	7 	3 	12 	2036 	2149 		714 	1666 	.429 	182 	549 	.332 	426 	645 	.660 	313 	1013 	332 	139 	54 	360 	586
40 	Cal State Northridge 	32 	15 	17 	.469 	-5.10 	-3.13 	7 	9 	12 	3 	3 	14 	2461 	2490 		813 	1784 	.456 	139 	370 	.376 	696 	886 	.786 	350 	1131 	437 	233 	90 	412 	658
41 	California-Davis 	31 	9 	22 	.290 	-10.90 	-1.11 	4 	12 	8 	9 	1 	13 	2174 	2408 		745 	1701 	.438 	245 	687 	.357 	439 	631 	.696 	255 	887 	372 	159 	70 	373 	606
42 	California-Irvine 	32 	22 	10 	.688 	5.14 	-0.26 	13 	3 	12 	4 	10 	6 	2293 	2059 		844 	1779 	.474 	182 	511 	.356 	423 	664 	.637 	345 	1238 	509 	182 	205 	402 	593
43 	California-Riverside 	30 	10 	20 	.333 	-6.76 	-1.98 	5 	11 	8 	7 	2 	13 	2074 	2151 		725 	1659 	.437 	135 	445 	.303 	489 	695 	.704 	307 	1018 	341 	195 	132 	396 	583
44 	California-Santa Barbara 	29 	21 	8 	.724 	6.18 	0.52 	12 	4 	12 	3 	9 	5 	2099 	1891 		715 	1525 	.469 	204 	527 	.387 	465 	653 	.712 	295 	1030 	467 	148 	140 	322 	547
45 	California 	31 	19 	12 	.613 	11.08 	8.02 	10 	8 	13 	6 	6 	6 	2260 	2165 		815 	1802 	.452 	175 	505 	.347 	455 	667 	.682 	331 	1121 	470 	165 	142 	316 	538
46 	Campbell 	32 	12 	20 	.375 	-14.15 	-7.44 	6 	10 	9 	8 	3 	12 	2164 	2291 		771 	1747 	.441 	278 	795 	.350 	344 	508 	.677 	345 	1049 	454 	193 	140 	427 	572
47 	Canisius 	33 	21 	12 	.636 	1.83 	-1.80 	14 	6 	12 	5 	9 	7 	2561 	2459 		876 	1917 	.457 	260 	678 	.383 	549 	741 	.741 	373 	1101 	410 	229 	124 	382 	590
48 	Central Arkansas 	29 	8 	21 	.276 	-15.78 	-5.08 	5 	13 	7 	8 	1 	13 	2165 	2360 		787 	1761 	.447 	191 	522 	.366 	400 	666 	.601 	323 	982 	368 	247 	137 	421 	634
49 	Central Connecticut State 	30 	11 	19 	.367 	-12.85 	-5.82 	7 	9 	5 	9 	6 	10 	2117 	2318 		781 	1794 	.435 	169 	504 	.335 	386 	538 	.717 	316 	1036 	391 	207 	146 	420 	557
50 	Central Florida 	29 	12 	17 	.414 	2.09 	5.12 	4 	14 	10 	7 	2 	10 	2101 	2130 		750 	1704 	.440 	202 	598 	.338 	399 	649 	.615 	410 	1103 	372 	200 	118 	397 	520
51 	Central Michigan 	31 	10 	21 	.323 	-8.23 	-2.13 	3 	15 	8 	8 	2 	13 	2246 	2288 		766 	1767 	.434 	249 	777 	.320 	465 	655 	.710 	330 	971 	371 	232 	36 	331 	561
52 	Charleston Southern 	31 	13 	18 	.419 	-5.30 	-5.78 	6 	10 	8 	6 	5 	12 	2523 	2242 		859 	1876 	.458 	302 	789 	.383 	503 	689 	.730 	366 	1160 	424 	202 	88 	334 	565
53 	Charlotte 	29 	16 	13 	.552 	-0.49 	-0.66 	7 	9 	13 	5 	3 	8 	2070 	2065 		739 	1658 	.446 	170 	483 	.352 	422 	644 	.655 	359 	1109 	400 	181 	75 	428 	525
54 	Chattanooga 	32 	18 	14 	.563 	-10.40 	-7.81 	12 	4 	13 	4 	5 	10 	2423 	2360 		810 	1852 	.437 	206 	620 	.332 	597 	845 	.707 	419 	1191 	378 	230 	160 	430 	617
55 	Chicago State 	31 	13 	18 	.419 	-10.02 	-1.91 	8 	8 	9 	5 	4 	13 	2170 	2371 		766 	1825 	.420 	212 	628 	.338 	426 	632 	.674 	316 	973 	347 	270 	81 	380 	709
56 	Cincinnati 	31 	26 	5 	.839 	15.95 	4.91 	15 	3 	19 	2 	7 	3 	2151 	1809 		740 	1730 	.428 	182 	545 	.334 	489 	683 	.716 	418 	1128 	397 	247 	170 	344 	545
57 	Citadel 	33 	7 	26 	.212 	-17.47 	-6.61 	2 	14 	7 	10 	0 	16 	2211 	2453 		764 	1778 	.430 	210 	582 	.361 	473 	655 	.722 	295 	1092 	442 	137 	95 	412 	630
58 	Clemson 	30 	19 	11 	.633 	11.07 	5.44 	10 	8 	15 	4 	4 	7 	1896 	1727 		659 	1580 	.417 	157 	514 	.305 	421 	574 	.733 	351 	1076 	310 	144 	175 	332 	475
59 	Cleveland State 	32 	21 	11 	.656 	4.92 	-0.21 	12 	4 	12 	4 	9 	7 	2348 	2122 		813 	1726 	.471 	235 	575 	.409 	487 	649 	.750 	336 	1082 	454 	192 	111 	404 	630
60 	Coastal Carolina 	33 	21 	12 	.636 	-5.64 	-7.14 	11 	5 	15 	5 	6 	7 	2399 	2256 		840 	1919 	.438 	203 	609 	.333 	516 	744 	.694 	429 	1308 	349 	211 	94 	465 	649
61 	Colgate 	31 	13 	18 	.419 	-2.11 	-3.68 	6 	12 	7 	8 	6 	10 	2158 	2083 		785 	1622 	.484 	260 	657 	.396 	328 	459 	.715 	220 	954 	440 	143 	70 	355 	529
62 	College of Charleston 	32 	14 	18 	.438 	-1.70 	-1.57 	6 	10 	9 	9 	5 	9 	2016 	2006 		709 	1719 	.412 	209 	613 	.341 	389 	593 	.656 	392 	1213 	324 	149 	132 	409 	595
63 	Colorado State 	31 	16 	15 	.516 	3.92 	2.61 	7 	11 	14 	6 	2 	9 	2278 	2157 		743 	1735 	.428 	167 	505 	.331 	625 	859 	.728 	393 	1166 	394 	154 	96 	287 	574
64 	Colorado 	31 	21 	10 	.677 	12.58 	8.93 	10 	8 	16 	3 	5 	7 	2248 	2135 		738 	1676 	.440 	165 	516 	.320 	607 	841 	.722 	364 	1175 	369 	195 	110 	414 	524
65 	Columbia 	31 	19 	12 	.613 	2.44 	-1.69 	8 	6 	15 	4 	4 	8 	2117 	1967 		678 	1521 	.446 	246 	648 	.380 	515 	669 	.770 	262 	1026 	371 	158 	91 	381 	583
66 	Connecticut 	31 	24 	7 	.774 	15.62 	6.40 	12 	6 	17 	3 	7 	4 	2252 	1966 		760 	1704 	.446 	221 	576 	.384 	511 	670 	.763 	318 	1098 	389 	223 	190 	354 	566
67 	Coppin State 	29 	10 	19 	.345 	-10.84 	-4.16 	7 	9 	5 	9 	5 	10 	2009 	2179 		653 	1677 	.389 	213 	662 	.322 	490 	662 	.740 	338 	970 	336 	173 	61 	340 	492
68 	Cornell 	28 	2 	26 	.071 	-15.36 	0.27 	1 	13 	2 	11 	0 	15 	1795 	2195 		652 	1588 	.411 	192 	603 	.318 	299 	450 	.664 	292 	880 	300 	117 	78 	337 	581
69 	Creighton 	30 	24 	6 	.800 	20.31 	7.75 	14 	4 	16 	2 	8 	4 	2397 	2020 		827 	1667 	.496 	309 	735 	.420 	434 	579 	.750 	255 	1042 	538 	128 	43 	300 	530
70 	Dartmouth 	28 	12 	16 	.429 	-4.49 	-2.88 	5 	9 	8 	7 	4 	9 	1905 	1864 		673 	1516 	.444 	174 	459 	.379 	385 	561 	.686 	300 	927 	352 	166 	86 	336 	561
71 	Davidson 	32 	20 	12 	.625 	0.98 	-3.95 	15 	1 	10 	8 	10 	4 	2514 	2319 		868 	1810 	.480 	264 	697 	.379 	514 	722 	.712 	311 	1054 	437 	174 	58 	368 	641
72 	Dayton 	31 	22 	9 	.710 	9.99 	4.19 	10 	6 	14 	4 	8 	5 	2268 	2088 		790 	1710 	.462 	201 	536 	.375 	487 	707 	.689 	373 	1092 	404 	182 	86 	378 	625
73 	Delaware State 	29 	9 	20 	.310 	-12.26 	-5.63 	5 	11 	7 	8 	2 	12 	1786 	1881 		629 	1482 	.424 	151 	475 	.318 	377 	549 	.687 	285 	907 	360 	148 	101 	340 	519
74 	Delaware 	34 	25 	9 	.735 	3.05 	-1.33 	14 	2 	13 	2 	12 	7 	2704 	2555 		916 	2053 	.446 	244 	707 	.345 	628 	886 	.709 	378 	1240 	370 	204 	122 	326 	641
75 	Denver 	31 	16 	15 	.516 	1.43 	0.16 	8 	6 	10 	7 	6 	8 	2044 	1999 		711 	1535 	.463 	253 	654 	.387 	369 	520 	.710 	226 	808 	466 	217 	102 	307 	620
76 	DePaul 	31 	11 	20 	.355 	2.12 	7.90 	3 	15 	8 	11 	3 	9 	2168 	2347 		742 	1747 	.425 	184 	539 	.341 	500 	734 	.681 	383 	1061 	346 	210 	137 	426 	679
77 	Detroit Mercy 	32 	13 	19 	.406 	-2.89 	0.11 	6 	10 	8 	7 	5 	12 	2275 	2267 		778 	1863 	.418 	191 	595 	.321 	528 	724 	.729 	399 	1174 	370 	235 	146 	408 	681
78 	Drake 	31 	15 	16 	.484 	-0.43 	1.37 	6 	12 	10 	7 	5 	9 	2116 	2115 		720 	1592 	.452 	239 	603 	.396 	437 	612 	.714 	263 	1009 	395 	171 	67 	370 	571
79 	Drexel 	30 	16 	14 	.533 	1.54 	0.08 	8 	8 	9 	5 	7 	9 	2064 	2020 		718 	1707 	.421 	154 	491 	.314 	474 	669 	.709 	315 	1071 	353 	137 	117 	255 	638
80 	Duke 	31 	24 	7 	.774 	21.18 	8.50 	13 	5 	19 	1 	5 	6 	2473 	2080 		833 	1791 	.465 	283 	720 	.393 	524 	718 	.730 	369 	1077 	459 	221 	100 	304 	599
81 	Duquesne 	29 	13 	16 	.448 	1.25 	1.22 	5 	11 	6 	10 	7 	6 	2136 	2135 		724 	1635 	.443 	212 	576 	.368 	476 	709 	.671 	312 	1026 	442 	168 	81 	322 	519
82 	East Carolina 	31 	16 	15 	.516 	-3.39 	-2.28 	5 	11 	13 	6 	3 	9 	2271 	2185 		742 	1680 	.442 	259 	710 	.365 	528 	739 	.714 	326 	1066 	428 	198 	100 	357 	535
83 	East Tennessee State 	33 	18 	15 	.545 	-6.21 	-6.15 	10 	8 	13 	5 	5 	10 	2533 	2514 		823 	1913 	.430 	262 	719 	.364 	625 	836 	.748 	339 	1147 	405 	253 	98 	394 	661
84 	Eastern Illinois 	30 	11 	19 	.367 	-11.60 	-4.28 	7 	9 	7 	8 	4 	11 	2030 	2206 		703 	1598 	.440 	152 	476 	.319 	472 	660 	.715 	315 	971 	359 	171 	144 	399 	576
85 	Eastern Kentucky 	33 	24 	9 	.727 	0.07 	-5.38 	11 	5 	15 	3 	9 	6 	2608 	2331 		859 	1753 	.490 	303 	776 	.390 	587 	782 	.751 	235 	865 	484 	291 	66 	352 	686
86 	Eastern Michigan 	32 	19 	13 	.594 	3.29 	1.50 	10 	8 	15 	3 	4 	10 	2143 	1976 		727 	1751 	.415 	159 	515 	.309 	528 	785 	.673 	379 	1158 	352 	270 	191 	393 	600
87 	Eastern Washington 	31 	15 	16 	.484 	-4.72 	-3.55 	10 	10 	11 	4 	4 	12 	2362 	2329 		813 	1791 	.454 	251 	677 	.371 	485 	700 	.693 	329 	1133 	417 	147 	133 	373 	603
88 	Elon 	32 	18 	14 	.563 	-3.69 	-4.17 	11 	5 	11 	5 	7 	9 	2392 	2281 		837 	1789 	.468 	256 	683 	.375 	462 	639 	.723 	290 	1086 	442 	161 	93 	386 	576
89 	Evansville 	33 	14 	19 	.424 	-2.82 	1.50 	6 	12 	10 	8 	4 	11 	2290 	2383 		775 	1672 	.464 	144 	398 	.362 	596 	830 	.718 	276 	1057 	485 	166 	124 	423 	623
90 	Fairfield 	32 	7 	25 	.219 	-7.36 	-0.79 	4 	16 	5 	12 	2 	13 	2030 	2240 		697 	1753 	.398 	220 	660 	.333 	416 	607 	.685 	356 	1134 	360 	141 	117 	469 	734
91 	Fairleigh Dickinson 	31 	10 	21 	.323 	-10.83 	-3.66 	6 	10 	6 	7 	4 	14 	2157 	2358 		742 	1766 	.420 	226 	636 	.355 	447 	621 	.720 	328 	980 	339 	209 	122 	364 	660
92 	Florida A&M 	30 	13 	17 	.433 	-11.92 	-7.17 	8 	8 	10 	3 	3 	14 	2148 	2228 		764 	1899 	.402 	198 	595 	.333 	422 	643 	.656 	455 	1187 	345 	218 	126 	440 	716
93 	Florida Atlantic 	31 	10 	21 	.323 	-4.65 	0.07 	5 	11 	7 	10 	3 	11 	2061 	2129 		728 	1715 	.424 	203 	611 	.332 	402 	624 	.644 	387 	1144 	374 	149 	146 	402 	585
94 	Florida Gulf Coast 	34 	22 	12 	.647 	-2.29 	-6.36 	14 	4 	16 	3 	6 	9 	2451 	2281 		893 	1905 	.469 	194 	589 	.329 	471 	699 	.674 	339 	1250 	438 	195 	124 	441 	611
95 	Florida International 	31 	15 	16 	.484 	-5.20 	-1.38 	7 	9 	10 	7 	5 	9 	2128 	2170 		754 	1681 	.449 	152 	481 	.316 	468 	698 	.670 	358 	1118 	336 	221 	130 	436 	560
96 	Florida State 	30 	18 	12 	.600 	13.15 	7.92 	9 	9 	12 	6 	6 	6 	2135 	1978 		733 	1575 	.465 	158 	425 	.372 	511 	704 	.726 	325 	1047 	331 	179 	166 	413 	545
97 	Florida 	31 	29 	2 	.935 	20.54 	7.51 	18 	0 	19 	0 	10 	2 	2216 	1812 		760 	1643 	.463 	209 	582 	.359 	487 	724 	.673 	370 	1116 	419 	218 	91 	350 	496
98 	Fordham 	29 	9 	20 	.310 	-3.16 	3.22 	2 	14 	7 	8 	2 	12 	2080 	2265 		717 	1811 	.396 	206 	669 	.308 	440 	598 	.736 	411 	1070 	355 	199 	117 	336 	580
99 	Fresno State 	31 	16 	15 	.516 	4.23 	4.82 	9 	9 	11 	5 	5 	10 	2281 	2204 		774 	1760 	.440 	240 	669 	.359 	493 	678 	.727 	295 	1073 	382 	202 	133 	304 	596
100 	Furman 	30 	9 	21 	.300 	-17.27 	-7.23 	3 	13 	6 	9 	3 	12 	1955 	2196 		680 	1540 	.442 	164 	492 	.333 	431 	633 	.681 	270 	940 	288 	147 	85 	407 	509
101 	Gardner-Webb 	33 	18 	15 	.545 	-7.30 	-6.87 	10 	6 	11 	6 	7 	9 	2425 	2309 		848 	1895 	.447 	175 	516 	.339 	554 	807 	.686 	401 	1182 	498 	252 	104 	405 	607
102 	George Mason 	30 	11 	19 	.367 	2.72 	5.26 	5 	12 	7 	11 	4 	8 	2087 	2163 		731 	1655 	.442 	147 	419 	.351 	478 	673 	.710 	323 	1032 	329 	160 	104 	412 	625
103 	George Washington 	30 	23 	7 	.767 	11.35 	4.01 	11 	5 	16 	2 	7 	5 	2209 	1989 		764 	1649 	.463 	171 	468 	.365 	510 	777 	.656 	359 	1129 	422 	209 	127 	384 	544
104 	Georgetown 	30 	17 	13 	.567 	12.13 	9.06 	8 	10 	15 	5 	2 	8 	2121 	2029 		729 	1578 	.462 	159 	485 	.328 	504 	703 	.717 	299 	1005 	397 	177 	133 	357 	659
105 	Georgia Southern 	34 	15 	19 	.441 	-11.21 	-8.37 	6 	10 	8 	8 	7 	11 	2406 	2395 		840 	1927 	.436 	242 	716 	.338 	484 	731 	.662 	372 	1197 	327 	233 	56 	405 	589
106 	Georgia State 	31 	24 	7 	.774 	6.13 	-2.87 	17 	1 	14 	0 	10 	7 	2422 	2125 		823 	1746 	.471 	234 	613 	.382 	542 	702 	.772 	257 	977 	415 	246 	151 	260 	539
107 	Georgia Tech 	31 	15 	16 	.484 	5.39 	5.48 	6 	12 	10 	9 	5 	7 	2062 	2065 		749 	1725 	.434 	162 	514 	.315 	402 	587 	.685 	343 	1109 	415 	162 	131 	377 	542
108 	Georgia 	30 	18 	12 	.600 	8.18 	5.41 	12 	6 	14 	4 	4 	8 	2076 	1993 		687 	1556 	.442 	150 	422 	.355 	552 	820 	.673 	361 	1126 	313 	145 	143 	387 	566
109 	Gonzaga 	33 	27 	6 	.818 	16.04 	4.76 	15 	3 	18 	1 	9 	5 	2540 	2147 		900 	1811 	.497 	234 	596 	.393 	506 	709 	.714 	322 	1184 	483 	219 	133 	373 	595
110 	Grambling 	27 	4 	23 	.148 	-24.51 	-8.35 	3 	15 	3 	8 	1 	15 	1765 	2162 		605 	1464 	.413 	171 	528 	.324 	384 	585 	.656 	291 	829 	282 	163 	55 	403 	519
111 	Grand Canyon 	29 	15 	14 	.517 	-6.19 	-3.27 	10 	6 	10 	5 	5 	9 	2096 	2083 		650 	1505 	.432 	195 	566 	.345 	601 	810 	.742 	278 	1031 	368 	118 	81 	364 	587
112 	Green Bay 	30 	24 	6 	.800 	8.15 	0.26 	14 	2 	15 	4 	9 	2 	2239 	1919 		789 	1668 	.473 	147 	411 	.358 	514 	728 	.706 	339 	1111 	463 	215 	220 	372 	501
113 	Hampton 	29 	18 	11 	.621 	-4.86 	-8.14 	13 	4 	9 	5 	9 	6 	2120 	2025 		701 	1660 	.422 	158 	492 	.321 	560 	856 	.654 	369 	1108 	351 	224 	179 	433 	675
114 	Hartford 	33 	17 	16 	.515 	-6.40 	-5.95 	10 	6 	9 	7 	8 	9 	2162 	2177 		731 	1593 	.459 	265 	704 	.376 	435 	619 	.703 	230 	909 	402 	185 	68 	458 	632
115 	Harvard 	30 	26 	4 	.867 	10.82 	-1.32 	13 	1 	13 	1 	13 	3 	2209 	1815 		745 	1594 	.467 	172 	444 	.387 	547 	753 	.726 	318 	1027 	432 	235 	149 	342 	534
116 	Hawaii 	30 	20 	10 	.667 	4.39 	-1.00 	9 	7 	14 	6 	6 	4 	2395 	2183 		838 	1770 	.473 	170 	506 	.336 	549 	761 	.721 	386 	1085 	421 	184 	107 	355 	581
117 	High Point 	30 	16 	14 	.533 	-8.74 	-5.88 	12 	4 	10 	4 	6 	10 	2122 	2165 		777 	1644 	.473 	175 	459 	.381 	393 	535 	.735 	289 	954 	437 	181 	107 	361 	507
118 	Hofstra 	33 	10 	23 	.303 	-6.36 	-1.69 	5 	11 	8 	8 	2 	15 	2260 	2414 		750 	1788 	.419 	229 	685 	.334 	531 	806 	.659 	419 	1195 	355 	159 	106 	406 	646
119 	Holy Cross 	32 	19 	13 	.594 	-1.17 	-3.04 	12 	6 	9 	4 	10 	9 	2143 	2083 		722 	1680 	.430 	201 	574 	.350 	498 	685 	.727 	320 	1058 	361 	191 	122 	376 	548
120 	Houston Baptist 	31 	6 	25 	.194 	-16.94 	-4.94 	2 	16 	5 	10 	1 	15 	2091 	2373 		737 	1733 	.425 	157 	456 	.344 	460 	674 	.682 	350 	1111 	385 	157 	67 	484 	662
121 	Houston 	31 	16 	15 	.516 	2.77 	4.03 	8 	10 	13 	6 	3 	9 	2212 	2251 		783 	1709 	.458 	196 	539 	.364 	450 	669 	.673 	327 	1064 	457 	171 	172 	391 	564
122 	Howard 	31 	7 	24 	.226 	-15.96 	-4.99 	5 	11 	4 	7 	3 	17 	1921 	2205 		616 	1596 	.386 	168 	491 	.342 	521 	766 	.680 	362 	1035 	253 	195 	121 	516 	683
123 	Idaho State 	29 	11 	18 	.379 	-5.66 	-3.95 	8 	12 	9 	4 	2 	14 	2054 	2036 		694 	1547 	.449 	166 	453 	.366 	500 	701 	.713 	347 	1012 	342 	210 	78 	360 	525
124 	Idaho 	31 	14 	17 	.452 	-5.88 	-3.38 	7 	9 	9 	6 	5 	11 	2259 	2320 		772 	1722 	.448 	198 	559 	.354 	517 	759 	.681 	339 	1074 	354 	131 	58 	362 	647
